france,1979
japon,899
philippines,864
chine,791
mexique,625
reunion,508
haiti,495
inde,361
australie,323
cuba,312
guadeloupe,303
italie,261
allemagne,259
canada,229
taiwan,214
pakistan,212
martinique,204
suisse,165
bangladesh,164
bahamas,158
dominique,152
espagne,147
indonesie,141
thailande,141
afghanistan,107
georgie,105
nepal,104
turquie,100
bresil,99
jamaique,97
vanuatu,94
grece,92
colombie,81
equateur,80
israel,78
chili,78
guatemala,77
singapour,75
venezuela,72
honduras,69
madagascar,67
ukraine,60
belgique,58
nicaragua,57
fidji,56
autriche,55
bermudes,53
perou,52
hongrie,50
monaco,50
pologne,49
irlande,47
maurice,46
grenade,43
egypte,42
malaisie,40
argentine,39
panama,38
portugal,38
myanmar,38
roumanie,37
cambodge,37
norvege,36
qatar,33
luxembourg,33
guinee,33
koweit,30
maroc,30
mali,29
algerie,29
